pcm_A,pcm_B,xE,TE,dH
Heptanoic (enanthic) acid,Nonanoic (pelargonic) acid,0.6851,-22.4,16131.107474096309
Heptanoic (enanthic) acid,Oleic (elainic) acid,0.8360000000000001,-14.7,16849.66196915783
Heptanoic (enanthic) acid,Octanoic (caprylic) acid,0.7242000000000001,-20.3,15567.60779158134
Heptanoic (enanthic) acid,Undecanoic (undecylic) acid,0.8252,-15.2,16090.588665402602
Heptanoic (enanthic) acid,Decanoic (capric) acid,0.8321000000000001,-14.9,15547.538388667284
Heptanoic (enanthic) acid,Tridecanoic (tridecylic) acid,0.923,-10.7,15301.399575573807
Heptanoic (enanthic) acid,Dodecanoic (lauric) acid,0.9348000000000001,-10.2,13571.476240975779
Heptanoic (enanthic) acid,Pentadecanoic (pentadecylic) acid,0.9669000000000001,-8.8,14646.964706366416
Heptanoic (enanthic) acid,Tetradecanoic (myristic) acid,0.9751000000000001,-8.4,13905.517925793534
Heptanoic (enanthic) acid,Hexadecanoic (palmitic) acid,0.9924000000000001,-7.6,14023.641848063322
Heptanoic (enanthic) acid,Heptadecanoic (heptadecylic) acid,0.9925,-7.7,14150.355088596305
Heptanoic (enanthic) acid,Nonadecanoic (nonadecylic) acid,0.9963000000000001,-7.4,14063.0972133348
Heptanoic (enanthic) acid,Octadecanoic (stearic) acid,0.9971000000000001,-7.5,13900.44001531255
Heptanoic (enanthic) acid,Eicosanoic (arachidic) acid,0.9988,-6.0,13958.404373356942
Nonanoic (pelargonic) acid,Oleic (elainic) acid,0.6288,-2.7,25790.826944340555
Nonanoic (pelargonic) acid,Octanoic (caprylic) acid,0.5434,-7.1,20513.67881483317
Nonanoic (pelargonic) acid,Undecanoic (undecylic) acid,0.6687000000000001,-0.8,22247.764493315633
Nonanoic (pelargonic) acid,Decanoic (capric) acid,0.6846,-0.1,22153.379066135058
Nonanoic (pelargonic) acid,Tridecanoic (tridecylic) acid,0.8128000000000001,5.4,22383.376804912557
Nonanoic (pelargonic) acid,Dodecanoic (lauric) acid,0.8328,6.2,21634.147671199746
Nonanoic (pelargonic) acid,Pentadecanoic (pentadecylic) acid,0.8986000000000001,8.7,21714.451916567195
Nonanoic (pelargonic) acid,Tetradecanoic (myristic) acid,0.9172,9.4,20800.201200258332
Nonanoic (pelargonic) acid,Hexadecanoic (palmitic) acid,0.9653,11.1,20635.581260110368
Nonanoic (pelargonic) acid,Heptadecanoic (heptadecylic) acid,0.9659000000000001,11.2,20769.13754724979
Nonanoic (pelargonic) acid,Nonadecanoic (nonadecylic) acid,0.9814,11.7,20484.011012057883
Nonanoic (pelargonic) acid,Octadecanoic (stearic) acid,0.9845,11.8,20089.435676098554
Nonanoic (pelargonic) acid,Eicosanoic (arachidic) acid,0.9949,12.2,20064.256141357826
Oleic (elainic) acid,Octanoic (caprylic) acid,0.4248,-0.5,27086.210553303325
Oleic (elainic) acid,Undecanoic (undecylic) acid,0.5868,4.6,32524.296742654107
